Latitude (decimal degrees):	59.246
Longitude (decimal degrees):	18.035
Elevation (m):	57
Radiation database:	PVGIS-SARAH3


Slope: 42 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220101:0011,0.0,0.0,0.0,-0.25,3.66,0.0
20220101:0111,0.0,0.0,0.0,-0.39,3.79,0.0
20220101:0211,0.0,0.0,0.0,-0.27,3.86,0.0
20220101:0311,0.0,0.0,0.0,-0.22,4.48,0.0
20220101:0411,0.0,0.0,0.0,-0.34,4.76,0.0
20220101:0511,0.0,0.0,0.0,-0.62,4.76,0.0
20220101:0611,0.0,0.0,0.0,-0.88,4.55,0.0
20220101:0711,0.0,0.0,0.0,-0.95,4.48,0.0
20220101:0811,0.0,0.0,0.0,-1.09,4.28,0.0
20220101:0911,9.4,21.52,5.21,-1.05,3.72,0.0
20220101:1011,6.94,17.93,7.33,-1.15,3.52,0.0
20220101:1111,4.62,14.34,7.64,-1.06,3.38,0.0
20220101:1211,1.56,8.97,6.1,-1.11,2.9,0.0
20220101:1311,0.0,1.65,2.84,-1.25,2.55,0.0
20220101:1411,0.0,0.0,0.0,-1.52,2.34,0.0
20220101:1511,0.0,0.0,0.0,-1.81,2.0,0.0
20220101:1611,0.0,0.0,0.0,-1.95,1.72,0.0
20220101:1711,0.0,0.0,0.0,-2.01,1.24,0.0
20220101:1811,0.0,0.0,0.0,-1.8,0.14,0.0
20220101:1911,0.0,0.0,0.0,-1.49,1.17,0.0
20220101:2011,0.0,0.0,0.0,-1.05,2.34,0.0
20220101:2111,0.0,0.0,0.0,-0.54,3.79,0.0
20220101:2211,0.0,0.0,0.0,-0.01,4.97,0.0
20220101:2311,0.0,0.0,0.0,0.19,5.86,0.0
20220102:0011,0.0,0.0,0.0,0.26,6.21,0.0
20220102:0111,0.0,0.0,0.0,0.3,6.34,0.0
20220102:0211,0.0,0.0,0.0,0.32,6.34,0.0
20220102:0311,0.0,0.0,0.0,0.57,6.48,0.0
20220102:0411,0.0,0.0,0.0,0.79,6.21,0.0
20220102:0511,0.0,0.0,0.0,1.2,5.79,0.0
20220102:0611,0.0,0.0,0.0,1.76,5.03,0.0
20220102:0711,0.0,0.0,0.0,1.95,4.48,0.0
20220102:0811,0.0,0.83,1.47,2.22,3.86,0.0
20220102:0911,60.36,82.7,5.27,2.5,3.38,0.0
20220102:1011,84.97,110.15,7.41,2.97,3.38,0.0
20220102:1111,18.36,34.07,7.73,3.6,3.38,0.0
20220102:1211,7.33,18.83,6.21,3.9,3.45,0.0
20220102:1311,0.0,1.65,2.95,4.0,3.31,0.0
20220102:1411,0.0,0.0,0.0,4.02,3.52,0.0
20220102:1511,0.0,0.0,0.0,4.02,3.79,0.0
20220102:1611,0.0,0.0,0.0,3.96,3.52,0.0
20220102:1711,0.0,0.0,0.0,3.92,3.1,0.0
20220102:1811,0.0,0.0,0.0,3.85,2.97,0.0
20220102:1911,0.0,0.0,0.0,3.63,2.76,0.0
20220102:2011,0.0,0.0,0.0,3.52,2.55,0.0
20220102:2111,0.0,0.0,0.0,3.42,2.55,0.0
20220102:2211,0.0,0.0,0.0,3.34,2.62,0.0
20220102:2311,0.0,0.0,0.0,3.28,2.69,0.0
20220103:0011,0.0,0.0,0.0,3.21,2.76,0.0
20220103:0111,0.0,0.0,0.0,3.12,2.83,0.0
20220103:0211,0.0,0.0,0.0,2.99,2.97,0.0
20220103:0311,0.0,0.0,0.0,2.98,3.17,0.0
20220103:0411,0.0,0.0,0.0,2.81,2.83,0.0
20220103:0511,0.0,0.0,0.0,2.63,2.83,0.0
20220103:0611,0.0,0.0,0.0,2.47,2.97,0.0
20220103:0711,0.0,0.0,0.0,2.75,3.17,0.0
20220103:0811,0.0,0.83,1.52,2.85,2.9,0.0
20220103:0911,6.19,17.03,5.34,2.89,2.69,0.0
20220103:1011,8.57,20.62,7.49,3.15,2.41,0.0
20220103:1111,25.92,43.43,7.83,3.17,2.28,0.0
20220103:1211,2.92,11.65,6.32,3.34,2.62,0.0
20220103:1311,0.0,2.69,3.07,3.37,2.9,0.0
20220103:1411,0.0,0.0,0.0,3.31,3.03,0.0
20220103:1511,0.0,0.0,0.0,3.33,3.24,0.0
20220103:1611,0.0,0.0,0.0,3.36,3.45,0.0
20220103:1711,0.0,0.0,0.0,3.45,3.66,0.0
20220103:1811,0.0,0.0,0.0,3.4,3.72,0.0
20220103:1911,0.0,0.0,0.0,3.61,3.59,0.0
20220103:2011,0.0,0.0,0.0,3.69,3.59,0.0
20220103:2111,0.0,0.0,0.0,3.75,3.86,0.0
20220103:2211,0.0,0.0,0.0,4.08,4.34,0.0
20220103:2311,0.0,0.0,0.0,3.84,4.83,0.0
20220104:0011,0.0,0.0,0.0,3.69,4.97,0.0
20220104:0111,0.0,0.0,0.0,3.92,5.1,0.0
20220104:0211,0.0,0.0,0.0,3.87,5.17,0.0
20220104:0311,0.0,0.0,0.0,3.41,5.17,0.0
20220104:0411,0.0,0.0,0.0,2.3,5.38,0.0
20220104:0511,0.0,0.0,0.0,0.9,5.03,0.0
20220104:0611,0.0,0.0,0.0,-0.07,4.69,0.0
20220104:0711,0.0,0.0,0.0,-0.74,4.34,0.0
20220104:0811,0.0,3.59,1.58,-0.89,4.34,0.0
20220104:0911,377.5,419.54,5.41,-0.69,4.41,0.0
20220104:1011,455.01,505.34,7.58,-0.12,4.48,0.0
20220104:1111,518.53,577.97,7.93,0.41,4.48,0.0
20220104:1211,442.28,493.82,6.43,0.69,4.28,0.0
20220104:1311,65.37,87.51,3.2,0.56,3.93,0.0
20220104:1411,0.0,0.0,0.0,0.15,3.86,0.0
20220104:1511,0.0,0.0,0.0,-0.02,3.93,0.0
20220104:1611,0.0,0.0,0.0,-0.09,3.72,0.0
20220104:1711,0.0,0.0,0.0,-0.19,3.66,0.0
20220104:1811,0.0,0.0,0.0,-0.28,3.59,0.0
20220104:1911,0.0,0.0,0.0,-0.16,3.52,0.0
20220104:2011,0.0,0.0,0.0,-0.22,3.52,0.0
